Flight Number,Date,Taxi Takeoff,Average Delay Takeoff,Gate Departure Actual,Gate Departure Estimated,Takeoff Actual,Takeoff Estimated,Taxi Landing,Average Delay Landing,Landing Actual,Landing Estimated,Gate Arrival Actual,Gate Arrival Estimated
SWA953,SUNDAY 31-MAR-2024,Taxi Time: 15 minutes,Average Delay: Less than 10 minutes,7:37 AM,7:40 AM,7:52 AM,7:50 AM,Taxi Time: 15 minutes,Average Delay: Less than 10 minutes,8:40 AM,8:37 AM,8:45 AM,8:50 AM
AAL1611,SUNDAY 31-MAR-2024,Taxi Time: 19 minutes,Average Delay: Less than 10 minutes,7:20 AM,7:25 AM,7:39 AM,7:35 AM,Taxi Time: 19 minutes,Average Delay: Less than 10 minutes,8:24 AM,8:19 AM,8:31 AM,8:41 AM
SWA2684,SUNDAY 31-MAR-2024,Taxi Time: 8 minutes,Average Delay: Less than 10 minutes,5:43 AM,5:45 AM,5:51 AM,5:55 AM,Taxi Time: 8 minutes,Average Delay: Less than 10 minutes,6:33 AM,6:43 AM,6:43 AM,6:55 AM
FFT9401,SUNDAY 31-MAR-2024,Taxi Time: 10 minutes,Average Delay: --,1:00 AM,1:00 AM,1:10 AM,1:00 AM,Taxi Time: 10 minutes,Average Delay: --,1:51 AM,1:47 AM,--,--
SWA5789,SATURDAY 30-MAR-2024,Taxi Time: 9 minutes,Average Delay: 20-40 minutes,10:31 PM,10:25 PM,10:40 PM,10:35 PM,Taxi Time: 9 minutes,Average Delay: 20-40 minutes,11:20 PM,11:18 PM,11:25 PM,11:35 PM
SWA2871,SATURDAY 30-MAR-2024,Taxi Time: 11 minutes,Average Delay: 10-20 minutes,8:50 PM,9:00 PM,9:01 PM,9:10 PM,Taxi Time: 11 minutes,Average Delay: 10-20 minutes,9:45 PM,9:45 PM,9:51 PM,10:05 PM
FFT2517,SATURDAY 30-MAR-2024,Taxi Time: 14 minutes,Average Delay: 20-40 minutes,10:07 PM,8:40 PM,10:21 PM,8:50 PM,Taxi Time: 14 minutes,Average Delay: 20-40 minutes,11:03 PM,9:34 PM,11:13 PM,9:56 PM
AAL2106,SATURDAY 30-MAR-2024,Taxi Time: 16 minutes,Average Delay: Less than 10 minutes,8:54 PM,8:24 PM,9:10 PM,8:34 PM,Taxi Time: 16 minutes,Average Delay: Less than 10 minutes,9:56 PM,9:27 PM,10:07 PM,9:38 PM
SWA1994,SATURDAY 30-MAR-2024,Taxi Time: 12 minutes,Average Delay: 20-40 minutes,6:45 PM,6:50 PM,6:57 PM,7:00 PM,Taxi Time: 12 minutes,Average Delay: 20-40 minutes,7:38 PM,7:45 PM,7:43 PM,8:00 PM
FFT2133,SATURDAY 30-MAR-2024,Taxi Time: 10 minutes,Average Delay: 40 minutes - 1 hour,6:28 PM,6:36 PM,6:38 PM,6:46 PM,Taxi Time: 10 minutes,Average Delay: 40 minutes - 1 hour,7:21 PM,7:27 PM,7:32 PM,7:51 PM
