Airport Code,Location Code,Airport Name,City,Country,Timezone Offset (H),Timezone Offset (M),Timezone Offset (S),Latitude Direction,Latitude Degrees,Latitude Minutes,Latitude Seconds,Longitude Direction,Longitude Degrees,Latitude,Longitude
KLFK,LFK,ANGELINA CO,LUFKIN,USA,31,14,2,N,94,45,0,W,91,31.234,-94.75
KLFT,LFT,LAFAYETTE RGNL,LAFAYETTE,USA,30,12,19,N,91,59,15,W,13,30.205,-91.987
KLGA,LGA,LA GUARDIA,NEW YORK,USA,40,46,38,N,73,52,21,W,7,40.777,-73.872
KLGB,LGB,LONG BEACH,LONG BEACH,USA,33,49,3,N,118,9,5,W,19,33.818,-118.151
KLHW,LHW,WRIGHT AAF,WRIGHT,USA,31,53,20,N,81,33,44,W,15,31.889,-81.562
KLIT,LIT,ADAMS FLD,LITTLE ROCK,USA,34,43,46,N,92,13,27,W,80,34.729,-92.224
KLIZ,N/A,N/A,LIMESTONE,USA,0,0,0,U,0,0,0,U,0,0,0
KLNA,LNA,PALM BEACH CO PARK,WEST PALM BEACH,USA,26,35,34,N,80,5,6,W,5,26.593,-80.085
KLNK,LNK,LINCOLN MUNI,LINCOLN,USA,40,51,3,N,96,45,33,W,372,40.851,-96.759
KLOU,LOU,BOWMAN FLD,LOUISVILLE,USA,38,13,40,N,85,39,49,W,167,38.228,-85.664
KLRD,LRD,LAREDO INTERNATIONAL,LAREDO,USA,27,32,37,N,99,27,41,W,155,27.544,-99.461
KLRF,LRF,LITTLE ROCK AFB,JACKSONVILLE,USA,34,55,5,N,92,8,47,W,95,34.918,-92.146
KLSF,LSF,LAWSON AAF,FORT BENNING,USA,32,20,14,N,84,59,28,W,71,32.337,-84.991
KLSV,LSV,NELLIS AFB,LAS VEGAS,USA,36,14,10,N,115,2,3,W,570,36.236,-115.034
KLTS,LTS,ALTUS AFB,ALTUS,USA,34,40,1,N,99,16,0,W,422,34.667,-99.267
KLUF,LUF,LUKE AFB,PHOENIX,USA,33,32,6,N,112,22,59,W,331,33.535,-112.383
KLUK,LUK,CINCINNATI MUNI LUNKEN FLD,CINCINNATI,USA,39,6,12,N,84,25,7,W,148,39.103,-84.419
KMAF,MAF,MIDLAND INTERNATIONAL,MIDLAND,USA,31,56,33,N,102,12,6,W,876,31.942,-102.202
KMCC,MCC,MC CLELLAN AFLD,SACRAMENTO,USA,38,40,3,N,121,24,2,W,23,38.667,-121.401
KMCF,MCF,MACDILL AFB,TAMPA,USA,27,50,57,N,82,31,16,W,5,27.849,-82.521
KMCI,MCI,KANSAS CITY INTERNATIONAL,KANSAS CITY,USA,39,17,51,N,94,42,50,W,313,39.297,-94.714
KMCN,MCN,MIDDLE GEORGIA RGNL,MACON,USA,32,41,34,N,83,38,57,W,108,32.693,-83.649
KMCO,MCO,ORLANDO INTERNATIONAL,ORLANDO,USA,28,25,44,N,81,18,57,W,30,28.429,-81.316
KMDT,MDT,HARRISBURG INTERNATIONAL,HARRISBURG,USA,40,11,36,N,76,45,48,W,95,40.193,-76.763
KMDW,MDW,CHICAGO MIDWAY INTERNATIONAL,CHICAGO,USA,41,47,9,N,87,45,8,W,189,41.786,-87.752
KMEM,MEM,MEMPHIS INTERNATIONAL,MEMPHIS,USA,35,2,32,N,89,58,36,W,104,35.042,-89.977
KMER,MER,CASTLE,MERCED,USA,37,22,49,N,120,34,5,W,58,37.38,-120.568
KMFE,MFE,MC ALLEN MILLER INTERNATIONAL,MCALLEN,USA,26,10,33,N,98,14,19,W,33,26.176,-98.239
KMGE,MGE,DOBBINS ARB,MARIETTA,USA,33,54,55,N,84,30,58,W,326,33.915,-84.516
KMHR,MHR,SACRAMENTO MATHER,SACRAMENTO,USA,38,33,14,N,121,17,51,W,30,38.554,-121.297
KMIA,MIA,MIAMI INTERNATIONAL,MIAMI,USA,25,47,35,N,80,17,26,W,3,25.793,-80.291
KMIB,MIB,MINOT AFB,MINOT,USA,48,24,56,N,101,21,27,W,509,48.416,-101.357
KMIV,MIV,MILLVILLE MUNI,MILLVILLE,USA,39,22,4,N,75,4,20,W,26,39.368,-75.072
KMKE,MKE,GENERAL MITCHELL INTERNATIONAL,MILWAUKEE,USA,42,56,50,N,87,53,47,W,221,42.947,-87.896
KMKL,MKL,MC KELLAR SIPES RGNL,JACKSON,USA,35,35,59,N,88,54,56,W,133,35.6,-88.916
KMKO,MKO,DAVIS FLD,MUSKOGEE,USA,35,39,27,N,95,21,41,W,186,35.657,-95.361
KMLB,MLB,MELBOURNE INTERNATIONAL,MELBOURNE,USA,28,6,9,N,80,38,42,W,11,28.103,-80.645
KMLC,MLC,MC ALESTER RGNL,MCALESTER,USA,34,52,56,N,95,47,0,W,235,34.882,-95.783
KMLT,MLT,MILLINOCKET MUNI,MILLINOCKET,USA,45,38,52,N,68,41,8,W,125,45.648,-68.686
KMLU,MLU,MONROE RGNL,MONROE,USA,32,30,39,N,92,2,15,W,25,32.511,-92.037
KMMV,MMV,MC MINNVILLE MUNI,MACKMINNVILLE,USA,45,11,40,N,123,8,9,W,50,45.194,-123.136
KMNM,MNM,MENOMINEE MARINETTE TWIN CO,MACON,USA,45,7,35,N,87,38,18,W,191,45.126,-87.638
KMOB,MOB,MOBILE RGNL,MOBILE,USA,30,41,29,N,88,14,34,W,67,30.691,-88.243
KMOD,MOD,MODESTO CITY CO HARRY SHAM,MODESTO,USA,37,37,32,N,120,57,15,W,30,37.626,-120.954
KMOT,MOT,MINOT INTERNATIONAL,MINOT,USA,48,15,33,N,101,16,49,W,519,48.259,-101.28
KMPV,MPV,EDWARD F KNAPP STATE,MONTPELIER,USA,44,12,12,N,72,33,44,W,356,44.203,-72.562
KMQT,MQT,SAWYER INTERNATIONAL,MARQUETTE,USA,46,32,2,N,87,33,42,W,433,46.534,-87.562
KMSN,MSN,DANE CO RGNL TRUAX FLD,MADISON,USA,43,8,23,N,89,20,15,W,271,43.14,-89.337
KMSP,MSP,MINNEAPOLIS ST PAUL INTERNATIONAL,MINNEAPOLIS,USA,44,52,49,N,93,13,0,W,257,44.88,-93.217
KMSS,MSS,MASSENA INTERNATIONAL RICHARDS FLD,MASSENA,USA,44,56,9,N,74,50,43,W,66,44.936,-74.845
KMSY,MSY,LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL,NEW ORLEANS,USA,29,59,36,N,90,15,28,W,2,29.993,-90.258
KMTC,MTC,SELFRIDGE ANGB,MOUNT CLEMENS,USA,42,36,46,N,82,49,54,W,177,42.613,-82.832
KMUI,MUI,MUIR AAF,MUIR,USA,40,26,5,N,76,34,9,W,150,40.435,-76.569
KMUO,MUO,MOUNTAIN HOME AFB,MOUNTAIN HOME,USA,43,2,36,N,115,52,20,W,914,43.043,-115.872
KMWH,MWH,GRANT CO INTERNATIONAL,GRANT COUNTY AIRPORT,USA,47,12,27,N,119,19,12,W,362,47.208,-119.32
KMWL,MWL,MINERAL WELLS,MINERAL WELLS,USA,32,46,53,N,98,3,36,W,297,32.781,-98.06
KMXF,MXF,MAXWELL AFB,MONTGOMERY,USA,32,22,45,N,86,21,45,W,53,32.379,-86.362
KMYR,MYR,MYRTLE BEACH INTERNATIONAL,MYRTLE BEACH,USA,33,40,47,N,78,55,42,W,8,33.68,-78.928
KNAB,ABY,N/A,ALBANY,USA,0,0,0,U,0,0,0,U,0,0,0
KNBC,NBC,BEAUFORT MCAS,BEAUFORT,USA,32,28,38,N,80,43,23,W,11,32.477,-80.723
KNBG,NBG,NEW ORLEANS NAS JRB,NEW ORLEANS,USA,29,49,31,N,90,2,6,W,1,29.825,-90.035
KNBM,N/A,N/A,MAYPORT,USA,0,0,0,U,0,0,0,U,0,0,0
KNBU,N/A,N/A,GLENVIEW,USA,0,0,0,U,0,0,0,U,0,0,0
KNCA,NCA,NEW RIVER MCAS,JACKSONVILLE,USA,34,42,30,N,77,26,22,W,8,34.708,-77.439
KNCO,N/A,N/A,QUONSET POINT,USA,0,0,0,U,0,0,0,U,0,0,0
KNEA,BQK,N/A,BRUNSWICK,USA,0,0,0,U,0,0,0,U,0,0,0
KNEL,NEL,LAKEHURST NAES,LAKEHURST,USA,40,2,0,N,74,21,12,W,32,40.033,-74.353
KNFF,N/A,N/A,JACKSONVILLE,USA,0,0,0,U,0,0,0,U,0,0,0
KNFL,NFL,FALLON NAS,FALLON,USA,39,24,59,N,118,42,3,W,1200,39.416,-118.701
KNGU,NGU,NORFOLK NS,NORFOLK,USA,36,56,15,N,76,17,21,W,5,36.938,-76.289
KNGZ,N/A,N/A,ALAMEDA,USA,0,0,0,U,0,0,0,U,0,0,0
KNHK,NHK,PATUXENT RIVER NAS,PATUXENT RIVER,USA,38,17,9,N,76,24,42,W,12,38.286,-76.412
KNID,NID,CHINA LAKE NAWS,CHINA,USA,35,41,16,N,117,41,26,W,696,35.688,-117.691
KNIP,NIP,JACKSONVILLE NAS,JACKSONVILLE,USA,30,14,9,N,81,40,50,W,7,30.236,-81.681
KNIR,N/A,N/A,BEEVILLE,USA,0,0,0,U,0,0,0,U,0,0,0
KNJK,NJK,EL CENTRO NAF,EL CENTRO,USA,32,49,45,N,115,40,18,W,-13,32.829,-115.672
KNKT,NKT,CHERRY POINT MCAS,CHERRY POINT,USA,34,54,9,N,76,52,51,W,9,34.902,-76.881
KNKX,NKX,MIRAMAR MCAS,MIRAMAR,USA,32,52,6,N,117,8,33,W,146,32.868,-117.143
KNLC,NLC,LEMOORE NAS,LEMOORE,USA,36,19,58,N,119,57,7,W,72,36.333,-119.952
KNMH,N/A,N/A,WASHINGTON,USA,0,0,0,U,0,0,0,U,0,0,0
KNMM,NMM,MERIDIAN NAS,MERIDIAN,USA,32,33,7,N,88,33,20,W,97,32.552,-88.556
KNOW,NOW,PORT ANGELES CGAS,PORT ANGELES,USA,48,8,29,N,123,24,50,W,4,48.141,-123.414
KNPA,NPA,PENSACOLA NAS,PENSACOLA,USA,30,21,9,N,87,19,7,W,9,30.353,-87.319
KNQA,NQA,MILLINGTON MUNI,MILLINGTON,USA,35,21,24,N,89,52,13,W,98,35.357,-89.87
KNQI,NQI,KINGSVILLE NAS,KINGSVILLE,USA,27,30,26,N,97,48,35,W,16,27.507,-97.81
KNQX,NQX,KEY WEST NAS,KEY WEST,USA,24,34,33,N,81,41,20,W,2,24.576,-81.689
KNRJ,SFB,N/A,SANFORD,USA,0,0,0,U,0,0,0,U,0,0,0
KNSE,NSE,WHITING FLD NAS NORTH,MILTON,USA,30,43,27,N,87,1,19,W,61,30.724,-87.022
